country_code,year,access_to_clean_fuels_and_technologies_for_cooking_percent_of_population,access_to_electricity_percent_of_population,adjusted_savings_natural_resources_depletion_percent_of_gni,adjusted_savings_net_forest_depletion_percent_of_gni,agricultural_land_percent_of_land_area,agriculture_forestry_and_fishing_value_added_percent_of_gdp,annual_freshwater_withdrawals_total_percent_of_internal_resources,annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income_total_population_percent,cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_percent_of_total,children_in_employment_total_percent_of_children_ages_7_14,co2_emissions_metric_tons_per_capita,control_of_corruption_estimate,cooling_degree_days_projected_change_in_number_of_degree_celsius,droughts_floods_extreme_temperatures_percent_of_population_average_1990_2009,ease_of_doing_business_index_1_most_business_friendly_regulations,electricity_production_from_coal_sources_percent_of_total,energy_imports_net_percent_of_energy_use,energy_intensity_level_of_primary_energy_mj_2011_ppp_gdp,energy_use_kg_of_oil_equivalent_per_capita,fertility_rate_total_births_per_woman,food_production_index_2004_2006_100,forest_area_percent_of_land_area,fossil_fuel_energy_consumption_percent_of_total,gdp_growth_annual_percent,ghg_net_emissions_removals_by_lucf_mt_of_co2_equivalent,gini_index_world_bank_estimate,government_effectiveness_estimate,government_expenditure_on_education_total_percent_of_government_expenditure,heat_index_35_projected_change_in_days,hospital_beds_per_1_000_people,income_share_held_by_lowest_20_percent,individuals_using_the_internet_percent_of_population,labor_force_participation_rate_total_percent_of_total_population_ages_15_64_modeled_ilo_estimate,life_expectancy_at_birth_total_years,literacy_rate_adult_total_percent_of_people_ages_15_and_above,mammal_species_threatened,maximum_5_day_rainfall_25_year_return_level_projected_change_in_mm,mean_drought_index_projected_change_unitless,methane_emissions_metric_tons_of_co2_equivalent_per_capita,mortality_rate_under_5_per_1_000_live_births,net_migration,nitrous_oxide_emissions_metric_tons_of_co2_equivalent_per_capita,patent_applications_residents,people_using_safely_managed_drinking_water_services_percent_of_population,people_using_safely_managed_sanitation_services_percent_of_population,pm2_5_air_pollution_mean_annual_exposure_micrograms_per_cubic_meter,political_stability_and_absence_of_violence_terrorism_estimate,population_ages_65_and_above_percent_of_total_population,population_density_people_per_sq_km_of_land_area,poverty_headcount_ratio_at_national_poverty_lines_percent_of_population,prevalence_of_overweight_percent_of_adults,prevalence_of_undernourishment_percent_of_population,proportion_of_seats_held_by_women_in_national_parliaments_percent,ratio_of_female_to_male_labor_force_participation_rate_percent_modeled_ilo_estimate,regulatory_quality_estimate,renewable_electricity_output_percent_of_total_electricity_output,renewable_energy_consumption_percent_of_total_final_energy_consumption,research_and_development_expenditure_percent_of_gdp,rule_of_law_estimate,school_enrollment_primary_percent_gross,school_enrollment_primary_and_secondary_gross_gender_parity_index_gpi,scientific_and_technical_journal_articles,strength_of_legal_rights_index_0_weak_to_12_strong,terrestrial_and_marine_protected_areas_percent_of_total_territorial_area,unemployment_total_percent_of_total_labor_force_modeled_ilo_estimate,unmet_need_for_contraception_percent_of_married_women_ages_15_49,voice_and_accountability_estimate,poverty_headcount_ratio_at_1_90_a_day_2011_ppp_percent_of_population
AGO,2000,37.27,NA,47.0859848732294,1.26643787406844,45.9613379321409,5.66468956353549,NA,NA,74.7,NA,0.581961496322796,-1.522685,NA,NA,NA,0,-504.159001757244,5.21828089060902,438.550019264464,6.639,62.63,47.9088794417262,25.2200519176355,3.05462423430785,NA,52,-1.46231,5.2550802230835,NA,NA,3.2,0.105045562,78.0609970092773,46.522,NA,NA,NA,NA,0.961137260266904,203.9,NA,0.182750268930942,NA,NA,NA,36.182967879889,-2.035583,2.5668792843,13.1510972968637,NA,17.8,NA,15.4545454545455,95.1568469239494,-1.799331,63.1141868512111,74.6181714427266,NA,-1.663307,NA,NA,7.17,NA,NA,3.83699989318848,NA,-1.458065,36.4
AGO,2001,37.96,20,30.7396229263703,1.2384065471095,45.9613379321409,8.15637702246655,NA,NA,NA,30.1,0.574316054293958,NA,NA,NA,NA,0,-475.111255280346,5.22724830275015,442.978839594794,6.601,71.14,47.808774539785,26.6792999769536,4.2059985561951,NA,NA,NA,NA,NA,NA,NA,0.136013867,78.0279998779297,47.059,67.4054183959961,NA,NA,NA,0.914500524113623,197.8,NA,0.180920912750233,NA,NA,NA,NA,NA,2.57473362204677,13.5924865645304,NA,18.3,67.5,15.4545454545455,95.2100924697951,NA,62.0879120879121,73.7578589617145,NA,NA,NA,NA,10.58,NA,NA,3.83500003814697,NA,NA,NA
AGO,2002,38.49,25.0560569763184,19.2632515051681,0.806548246045113,46.0335285152803,5.8395499748266,0.432702702702703,NA,NA,NA,0.722958874715979,-1.183629,NA,NA,NA,0,-550.714185301334,5.87651279748667,448.261720124591,6.567,80.82,47.7086696378439,28.1478041542876,13.6656865230232,NA,NA,-1.238857,NA,NA,NA,NA,0.270376746,77.9169998168945,47.702,NA,NA,NA,NA,0.89585172839941,190.9,261100,0.179954618352882,NA,NA,NA,NA,-1.577046,2.5769065260562,14.0526325499318,NA,18.8,63.2,15.4545454545455,95.3789312221978,-1.46316,64.7592067988669,72.1251264392252,NA,-1.617329,NA,NA,15.13,NA,NA,3.87100005149841,NA,-1.238779,NA
AGO,2003,39.24,26.1385898590088,17.0501338791878,0.945862649251172,46.1939520333681,6.19838433868839,NA,NA,NA,NA,0.500225395509936,-1.320665,NA,NA,NA,0,-501.436655943393,6.02511969108891,467.644059295602,6.533,86.75,47.6085678691746,31.7214241193656,2.98985001039553,NA,NA,-1.156531,NA,NA,NA,NA,0.370682065,77.8519973754883,48.44,NA,NA,NA,NA,0.860294019047783,183.2,NA,0.178355199374179,NA,NA,NA,NA,-1.006538,2.57132433837216,14.5355570706666,NA,19.4,58.7,15.4545454545455,95.474076480431,-1.212144,62.2055137844612,67.3061167192922,NA,-1.52141,NA,NA,5.89,NA,NA,3.875,NA,-1.272615,NA
AGO,2004,39.94,27.1979007720947,26.2201531851796,0.570042869042296,46.1939520333681,6.25087653552132,NA,NA,NA,NA,1.0018781174791,-1.313559,NA,NA,NA,0,-555.809535409895,5.59072840597349,464.807847471059,6.499,93.45,47.5084629672335,31.5616371865686,10.9528617687103,NA,NA,-1.314578,NA,NA,NA,NA,0.464814618,77.7539978027344,49.263,NA,NA,NA,NA,0.842780562790191,174.6,NA,0.163292287163789,NA,NA,NA,NA,-1.062798,2.55473555620772,15.0462380685008,NA,20,55.1,15,95.6489827103327,-1.251539,78.405017921147,65.493064622132,NA,-1.496279,NA,NA,9.23,NA,NA,3.84200000762939,NA,-1.28548,NA
AGO,2005,40.75,28.2321949005127,35.7637607020061,0.416321036183794,46.1939520333681,5.06040294790886,NA,NA,NA,NA,0.985736354999963,-1.296139,NA,NA,NA,0,-735.864294703601,4.56853458941781,433.572530712526,6.461,101.73,47.4083580652924,27.0837714677975,15.0289153175302,NA,NA,-1.137153,7.99235010147095,NA,0.8,NA,1.143366827,77.6559982299805,50.165,NA,NA,NA,NA,0.841768808479252,165.6,NA,0.156820717024049,NA,NA,NA,34.9629120527896,-0.8875439,2.52635615363534,15.5880340097858,NA,20.5,52.2,15,95.8519479027447,-1.257796,79.6482412060302,70.9542023585248,NA,-1.427661,NA,NA,10.04,NA,NA,3.79999995231628,NA,-1.234719,NA
AGO,2006,41.39,29.2503795623779,36.2021871316586,0.33708303349199,46.1939520333681,5.19128018876127,NA,NA,NA,NA,1.10501902714063,-1.220061,NA,NA,NA,0,-759.628788823642,4.15163362371784,458.794164795152,6.419,104.82,47.3082531633512,31.6746743551437,11.5476831781633,NA,NA,-1.369493,7.45479011535645,NA,NA,NA,1.5,77.6760025024414,51.143,NA,NA,NA,NA,0.824009011260155,156.2,NA,0.169226985283948,NA,NA,NA,NA,-0.541986,2.50370957157556,16.1625900376995,NA,21.1,49.4,15,95.8900985938495,-1.132907,80.6110102843315,65.022564178086,NA,-1.300314,NA,NA,12.4,NA,NA,3.71199989318848,NA,-1.252088,NA
AGO,2007,41.91,37.5,41.1440299415427,0.348755018580385,46.274163792412,5.24227833734658,0.476824324324324,NA,NA,NA,1.20313399963445,-1.289693,NA,NA,NA,0,-858.188815303372,3.61227313482103,471.694177230981,6.372,117.75,47.2081482614101,34.742475817209296,14.0100182426328,NA,NA,-1.206412,NA,NA,NA,NA,1.7,77.681999206543,52.177,NA,NA,NA,NA,0.79171072035439,146.8,357301,0.150713288260051,NA,NA,NA,NA,-0.6660322,2.4705287346601,16.7685593968076,NA,21.7,46.2,15,95.9735733987358,-1.02466,77.6188995958968,61.5997035024139,NA,-1.365904,98.9735794067383,NA,10.16,NA,NA,3.63700008392334,NA,-1.185314,NA
AGO,2008,42.58,31.2847576141357,52.8201229474618,0.364144372458305,46.274163792412,4.80533931673356,NA,NA,NA,NA,1.18500049364771,-1.284621,NA,NA,NA,0,-885.245940803771,3.43536775588835,491.978616527178,6.32,127.41,47.1080464927408,37.9607595728901,11.1661383303613,NA,42.7,-1.062213,NA,NA,NA,5.4,1.9,77.7040023803711,53.243,NA,NA,NA,NA,0.797054375087633,137.4,NA,0.151339020560542,NA,NA,NA,NA,-0.3629115,2.43205153626762,17.4024496671212,NA,22.3,43,37.2727272727273,96.0456798422099,-1.065344,75.4090471607315,58.1079750373659,NA,-1.366982,105.180206298828,0.833090007305145,10.85,NA,NA,3.61199998855591,NA,-1.119347,34.4
AGO,2009,43.32,32.3241195678711,27.342965017413,0.401531295668099,46.7554343466752,6.62119707047771,NA,NA,NA,NA,1.23442507446718,-1.404655,NA,1.01176467635625,NA,0,-764.549421482873,3.64542773993288,515.217119303077,6.26,159.41,47.0079415907997,41.7993312438043,0.858712615098312,NA,NA,-0.9603533,NA,NA,NA,NA,2.3,77.7880020141602,54.311,NA,NA,NA,NA,0.799399279062032,128.6,NA,0.154514772201697,NA,NA,NA,NA,-0.3472624,2.3944268973102,18.0591008261811,NA,22.9,40.3,38.6363636363636,96.0243528951533,-1.031473,65.3431890179514,55.7489765055489,NA,-1.230835,104.130569458008,0.823400020599365,13.78,NA,NA,3.78200006484985,NA,-1.126125,NA
