country_code,year,access_to_clean_fuels_and_technologies_for_cooking_percent_of_population,access_to_electricity_percent_of_population,adjusted_savings_natural_resources_depletion_percent_of_gni,adjusted_savings_net_forest_depletion_percent_of_gni,agricultural_land_percent_of_land_area,agriculture_forestry_and_fishing_value_added_percent_of_gdp,annual_freshwater_withdrawals_total_percent_of_internal_resources,annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income_total_population_percent,cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_percent_of_total,children_in_employment_total_percent_of_children_ages_7_14,co2_emissions_metric_tons_per_capita,control_of_corruption_estimate,cooling_degree_days_projected_change_in_number_of_degree_celsius,droughts_floods_extreme_temperatures_percent_of_population_average_1990_2009,ease_of_doing_business_index_1_most_business_friendly_regulations,electricity_production_from_coal_sources_percent_of_total,energy_imports_net_percent_of_energy_use,energy_intensity_level_of_primary_energy_mj_2011_ppp_gdp,energy_use_kg_of_oil_equivalent_per_capita,fertility_rate_total_births_per_woman,food_production_index_2004_2006_100,forest_area_percent_of_land_area,fossil_fuel_energy_consumption_percent_of_total,gdp_growth_annual_percent,ghg_net_emissions_removals_by_lucf_mt_of_co2_equivalent,gini_index_world_bank_estimate,government_effectiveness_estimate,government_expenditure_on_education_total_percent_of_government_expenditure,heat_index_35_projected_change_in_days,hospital_beds_per_1_000_people,income_share_held_by_lowest_20_percent,individuals_using_the_internet_percent_of_population,labor_force_participation_rate_total_percent_of_total_population_ages_15_64_modeled_ilo_estimate,life_expectancy_at_birth_total_years,literacy_rate_adult_total_percent_of_people_ages_15_and_above,mammal_species_threatened,maximum_5_day_rainfall_25_year_return_level_projected_change_in_mm,mean_drought_index_projected_change_unitless,methane_emissions_metric_tons_of_co2_equivalent_per_capita,mortality_rate_under_5_per_1_000_live_births,net_migration,nitrous_oxide_emissions_metric_tons_of_co2_equivalent_per_capita,patent_applications_residents,people_using_safely_managed_drinking_water_services_percent_of_population,people_using_safely_managed_sanitation_services_percent_of_population,pm2_5_air_pollution_mean_annual_exposure_micrograms_per_cubic_meter,political_stability_and_absence_of_violence_terrorism_estimate,population_ages_65_and_above_percent_of_total_population,population_density_people_per_sq_km_of_land_area,poverty_headcount_ratio_at_national_poverty_lines_percent_of_population,prevalence_of_overweight_percent_of_adults,prevalence_of_undernourishment_percent_of_population,proportion_of_seats_held_by_women_in_national_parliaments_percent,ratio_of_female_to_male_labor_force_participation_rate_percent_modeled_ilo_estimate,regulatory_quality_estimate,renewable_electricity_output_percent_of_total_electricity_output,renewable_energy_consumption_percent_of_total_final_energy_consumption,research_and_development_expenditure_percent_of_gdp,rule_of_law_estimate,school_enrollment_primary_percent_gross,school_enrollment_primary_and_secondary_gross_gender_parity_index_gpi,scientific_and_technical_journal_articles,strength_of_legal_rights_index_0_weak_to_12_strong,terrestrial_and_marine_protected_areas_percent_of_total_territorial_area,unemployment_total_percent_of_total_labor_force_modeled_ilo_estimate,unmet_need_for_contraception_percent_of_married_women_ages_15_49,voice_and_accountability_estimate,poverty_headcount_ratio_at_1_90_a_day_2011_ppp_percent_of_population
AGO,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100835335649402,NA,NA,NA,NA,NA,NA,NA,NA,6.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06146168708801,NA,NA,NA,37.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00694802300963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1961,NA,NA,NA,NA,45.8570626453838,NA,NA,NA,NA,NA,0.0822037967470503,NA,NA,NA,NA,NA,NA,NA,NA,6.79,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04512072012658,4.43689099221946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1962,NA,NA,NA,NA,45.881126173097,NA,NA,NA,NA,NA,0.210531477092341,NA,NA,NA,NA,NA,NA,NA,NA,6.872,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.113,NA,NA,NA,NA,NA,NA,-296717,NA,NA,NA,NA,NA,NA,3.0644879174416,4.4987077885618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1963,NA,NA,NA,NA,45.8971685249058,NA,NA,NA,NA,NA,0.202737303453956,NA,NA,NA,NA,NA,NA,NA,NA,6.954,30.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07134941397577,4.55559316595813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1964,NA,NA,NA,NA,45.9212320526189,NA,NA,NA,NA,NA,0.213560349319029,NA,NA,NA,NA,NA,NA,NA,NA,7.036,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07068263120562,4.60017967434026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1965,NA,NA,NA,NA,45.9372744044277,NA,NA,NA,NA,NA,0.205890925853079,NA,NA,NA,NA,NA,NA,NA,NA,7.116,32.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06188123530258,4.62867570385819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1966,NA,NA,NA,NA,45.9613379321409,NA,NA,NA,NA,NA,0.268941436867758,NA,NA,NA,NA,NA,NA,NA,NA,7.194,33.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03201023176101,4.63721344349082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1967,NA,NA,NA,NA,45.985401459854,NA,NA,NA,NA,NA,0.172101693676556,NA,NA,NA,NA,NA,NA,NA,NA,7.267,34.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.813,NA,NA,NA,NA,NA,NA,-587286,NA,NA,NA,NA,NA,NA,2.98096217980435,4.63162188176787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1968,NA,NA,NA,NA,46.0094649875672,NA,NA,NA,NA,NA,0.289718091111522,NA,NA,NA,NA,NA,NA,NA,NA,7.332,34.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89511564453297,4.62954359509104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,1969,NA,NA,NA,NA,46.0415496911847,NA,NA,NA,NA,NA,0.480234020430607,NA,NA,NA,NA,NA,NA,NA,NA,7.388,36.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76841234245477,4.65489211518409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
